ind,Province/State,Country/Region,First confirmed date in country (Est.),Lat,Long,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 PM,1/27/2020 8:30 PM,1/28/2020 11:00 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 7:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM
0,Anhui,Mainland China,1/3/2020,31.825709999999997,117.2264,,1.0,9.0,15.0,60.0,70.0,106.0,152.0,200.0,200.0,237.0,297.0,408,480
1,Beijing,Mainland China,1/3/2020,40.18238,116.4142,10.0,14.0,22.0,36.0,51.0,68.0,80.0,91.0,111.0,114.0,139.0,168.0,191,212
2,Chongqing,Mainland China,1/3/2020,30.05718,107.874,5.0,6.0,9.0,27.0,75.0,110.0,132.0,147.0,165.0,182.0,238.0,247.0,300,337
3,Fujian,Mainland China,1/3/2020,26.07783,117.9895,,1.0,5.0,10.0,18.0,35.0,59.0,82.0,101.0,101.0,120.0,144.0,159,179
4,Gansu,Mainland China,1/3/2020,36.0611,103.8343,,,2.0,2.0,7.0,14.0,19.0,24.0,26.0,26.0,35.0,35.0,51,55
5,Guangdong,Mainland China,1/3/2020,23.33841,113.42200000000001,17.0,26.0,32.0,53.0,98.0,146.0,151.0,241.0,311.0,354.0,436.0,535.0,683,725
6,Guangxi,Mainland China,1/3/2020,23.829079999999998,108.7881,,2.0,5.0,23.0,33.0,46.0,51.0,58.0,78.0,78.0,88.0,100.0,127,139
7,Guizhou,Mainland China,1/3/2020,26.81536,106.8748,,1.0,3.0,3.0,5.0,7.0,9.0,9.0,12.0,12.0,29.0,29.0,46,56
8,Hainan,Mainland China,1/3/2020,19.19673,109.7455,,4.0,5.0,8.0,19.0,22.0,33.0,43.0,43.0,46.0,58.0,62.0,71,79
9,Hebei,Mainland China,1/3/2020,38.0428,114.5149,,1.0,1.0,2.0,13.0,18.0,33.0,48.0,65.0,65.0,96.0,96.0,113,126
10,Heilongjiang,Mainland China,1/3/2020,47.861999999999995,127.7622,,,2.0,4.0,15.0,21.0,30.0,37.0,43.0,44.0,59.0,80.0,95,155
11,Henan,Mainland China,1/3/2020,33.882020000000004,113.61399999999999,,5.0,5.0,9.0,83.0,128.0,168.0,206.0,278.0,278.0,352.0,422.0,566,675
12,Hubei,Mainland China,1/3/2020,30.975640000000002,112.2707,270.0,444.0,444.0,549.0,1052.0,1423.0,2714.0,3554.0,4586.0,4903.0,7153.0,7153.0,11177,13522
13,Hunan,Mainland China,1/3/2020,27.610409999999998,111.7088,1.0,4.0,9.0,24.0,69.0,100.0,100.0,221.0,277.0,277.0,332.0,389.0,521,521
14,Inner Mongolia,Mainland China,1/3/2020,44.09448,113.9456,,,,1.0,7.0,11.0,11.0,16.0,16.0,19.0,20.0,23.0,27,34
15,Jiangsu,Mainland China,1/3/2020,32.97027,119.464,,1.0,5.0,9.0,31.0,47.0,70.0,99.0,129.0,129.0,168.0,202.0,271,308
16,Jiangxi,Mainland China,1/3/2020,27.614009999999997,115.7221,2.0,2.0,7.0,18.0,36.0,48.0,72.0,109.0,162.0,162.0,240.0,286.0,391,391
17,Jilin,Mainland China,1/3/2020,43.66657,126.1917,,,1.0,3.0,4.0,6.0,6.0,9.0,14.0,14.0,14.0,17.0,31,42
18,Liaoning,Mainland China,1/3/2020,41.292840000000005,122.6086,,2.0,3.0,4.0,19.0,23.0,27.0,36.0,39.0,41.0,60.0,63.0,70,74
19,Ningxia,Mainland China,1/3/2020,37.26923,106.1655,,1.0,1.0,2.0,4.0,4.0,7.0,12.0,12.0,17.0,21.0,26.0,28,31
20,Qinghai,Mainland China,1/3/2020,35.65945,96.02564,,,,,1.0,4.0,6.0,6.0,6.0,8.0,8.0,9.0,11,13
21,Shaanxi,Mainland China,1/3/2020,35.19165,108.8701,,,3.0,5.0,15.0,22.0,35.0,56.0,56.0,63.0,87.0,101.0,116,128
22,Shandong,Mainland China,1/3/2020,36.34377,118.1529,1.0,2.0,6.0,15.0,39.0,63.0,87.0,121.0,145.0,158.0,184.0,206.0,246,270
23,Shanghai,Mainland China,1/3/2020,31.20327,121.4554,9.0,9.0,16.0,20.0,40.0,53.0,66.0,80.0,101.0,112.0,153.0,169.0,193,208
24,Shanxi,Mainland China,1/3/2020,37.577690000000004,112.2922,,1.0,1.0,1.0,9.0,13.0,20.0,27.0,35.0,35.0,47.0,47.0,66,74
25,Sichuan,Mainland China,1/3/2020,30.617140000000003,102.7103,2.0,5.0,8.0,15.0,44.0,69.0,90.0,108.0,142.0,142.0,177.0,207.0,254,254
26,Tianjin,Mainland China,1/3/2020,39.293620000000004,117.333,2.0,4.0,4.0,8.0,13.0,14.0,23.0,25.0,27.0,31.0,32.0,38.0,48,60
27,Tibet,Mainland China,1/3/2020,30.1534,88.7879,,,,,,,,,1.0,1.0,1.0,1.0,1,1
28,Xinjiang,Mainland China,1/3/2020,41.11981,85.17822,,,2.0,2.0,4.0,5.0,5.0,13.0,14.0,14.0,17.0,18.0,24,24
29,Yunnan,Mainland China,1/3/2020,24.97411,101.4868,1.0,1.0,2.0,5.0,11.0,19.0,26.0,44.0,55.0,70.0,83.0,91.0,105,117
30,Zhejiang,Mainland China,1/3/2020,29.182509999999997,120.0985,5.0,10.0,27.0,43.0,104.0,128.0,173.0,296.0,428.0,428.0,537.0,599.0,724,724
31,,Thailand,1/13/2020,13.7563,100.5018,2.0,2.0,3.0,5.0,7.0,8.0,8.0,14.0,14.0,14.0,19.0,19.0,19,19
32,,Japan,1/16/2020,35.6762,139.6503,1.0,2.0,2.0,2.0,2.0,4.0,4.0,7.0,11.0,11.0,17.0,17.0,20,20
33,,South Korea,1/21/2020,37.5665,126.978,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,11.0,12.0,15,15
34,Taiwan,Taiwan,1/21/2020,23.6978,120.9605,1.0,1.0,1.0,3.0,3.0,4.0,5.0,8.0,8.0,9.0,10.0,10.0,10,10
35,Washington,US,1/21/2020,47.7511,-120.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
36,Illinois,US,1/24/2020,40.6331,-89.3985,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2,2
37,California,US,1/26/2020,36.7783,-119.41799999999999,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4,4
38,Arizona,US,1/26/2020,34.0489,-111.094,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
