ind,Province/State,Country/Region,Lat,Long,datetime,confirmed_case
1,Beijing,Mainland China,40.18238,116.4142,2020-01-21,10.0
2,Chongqing,Mainland China,30.05718,107.874,2020-01-21,5.0
5,Guangdong,Mainland China,23.33841,113.42200000000001,2020-01-21,17.0
12,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-21,270.0
13,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-21,1.0
16,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-21,2.0
22,Shandong,Mainland China,36.34377,118.1529,2020-01-21,1.0
23,Shanghai,Mainland China,31.20327,121.4554,2020-01-21,9.0
25,Sichuan,Mainland China,30.617140000000003,102.7103,2020-01-21,2.0
26,Tianjin,Mainland China,39.293620000000004,117.333,2020-01-21,2.0
29,Yunnan,Mainland China,24.97411,101.4868,2020-01-21,1.0
30,Zhejiang,Mainland China,29.182509999999997,120.0985,2020-01-21,5.0
31,,Thailand,13.7563,100.5018,2020-01-21,2.0
32,,Japan,35.6762,139.6503,2020-01-21,1.0
33,,South Korea,37.5665,126.978,2020-01-21,1.0
34,Taiwan,Taiwan,23.6978,120.9605,2020-01-21,1.0
35,Washington,US,47.7511,-120.74,2020-01-21,1.0
65,Anhui,Mainland China,31.825709999999997,117.2264,2020-01-22,1.0
66,Beijing,Mainland China,40.18238,116.4142,2020-01-22,14.0
67,Chongqing,Mainland China,30.05718,107.874,2020-01-22,6.0
68,Fujian,Mainland China,26.07783,117.9895,2020-01-22,1.0
70,Guangdong,Mainland China,23.33841,113.42200000000001,2020-01-22,26.0
71,Guangxi,Mainland China,23.829079999999998,108.7881,2020-01-22,2.0
72,Guizhou,Mainland China,26.81536,106.8748,2020-01-22,1.0
73,Hainan,Mainland China,19.19673,109.7455,2020-01-22,4.0
74,Hebei,Mainland China,38.0428,114.5149,2020-01-22,1.0
76,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-22,5.0
77,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-22,444.0
78,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-22,4.0
80,Jiangsu,Mainland China,32.97027,119.464,2020-01-22,1.0
81,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-22,2.0
83,Liaoning,Mainland China,41.292840000000005,122.6086,2020-01-22,2.0
84,Ningxia,Mainland China,37.26923,106.1655,2020-01-22,1.0
87,Shandong,Mainland China,36.34377,118.1529,2020-01-22,2.0
88,Shanghai,Mainland China,31.20327,121.4554,2020-01-22,9.0
89,Shanxi,Mainland China,37.577690000000004,112.2922,2020-01-22,1.0
90,Sichuan,Mainland China,30.617140000000003,102.7103,2020-01-22,5.0
91,Tianjin,Mainland China,39.293620000000004,117.333,2020-01-22,4.0
94,Yunnan,Mainland China,24.97411,101.4868,2020-01-22,1.0
95,Zhejiang,Mainland China,29.182509999999997,120.0985,2020-01-22,10.0
96,,Thailand,13.7563,100.5018,2020-01-22,2.0
97,,Japan,35.6762,139.6503,2020-01-22,2.0
98,,South Korea,37.5665,126.978,2020-01-22,1.0
99,Taiwan,Taiwan,23.6978,120.9605,2020-01-22,1.0
100,Washington,US,47.7511,-120.74,2020-01-22,1.0
104,Macau,Macau,22.1987,113.5439,2020-01-22,1.0
130,Anhui,Mainland China,31.825709999999997,117.2264,2020-01-23,9.0
131,Beijing,Mainland China,40.18238,116.4142,2020-01-23,22.0
132,Chongqing,Mainland China,30.05718,107.874,2020-01-23,9.0
133,Fujian,Mainland China,26.07783,117.9895,2020-01-23,5.0
134,Gansu,Mainland China,36.0611,103.8343,2020-01-23,2.0
135,Guangdong,Mainland China,23.33841,113.42200000000001,2020-01-23,32.0
136,Guangxi,Mainland China,23.829079999999998,108.7881,2020-01-23,5.0
137,Guizhou,Mainland China,26.81536,106.8748,2020-01-23,3.0
138,Hainan,Mainland China,19.19673,109.7455,2020-01-23,5.0
139,Hebei,Mainland China,38.0428,114.5149,2020-01-23,1.0
140,Heilongjiang,Mainland China,47.861999999999995,127.7622,2020-01-23,2.0
141,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-23,5.0
142,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-23,444.0
143,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-23,9.0
145,Jiangsu,Mainland China,32.97027,119.464,2020-01-23,5.0
146,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-23,7.0
147,Jilin,Mainland China,43.66657,126.1917,2020-01-23,1.0
148,Liaoning,Mainland China,41.292840000000005,122.6086,2020-01-23,3.0
149,Ningxia,Mainland China,37.26923,106.1655,2020-01-23,1.0
151,Shaanxi,Mainland China,35.19165,108.8701,2020-01-23,3.0
152,Shandong,Mainland China,36.34377,118.1529,2020-01-23,6.0
153,Shanghai,Mainland China,31.20327,121.4554,2020-01-23,16.0
154,Shanxi,Mainland China,37.577690000000004,112.2922,2020-01-23,1.0
155,Sichuan,Mainland China,30.617140000000003,102.7103,2020-01-23,8.0
156,Tianjin,Mainland China,39.293620000000004,117.333,2020-01-23,4.0
158,Xinjiang,Mainland China,41.11981,85.17822,2020-01-23,2.0
159,Yunnan,Mainland China,24.97411,101.4868,2020-01-23,2.0
160,Zhejiang,Mainland China,29.182509999999997,120.0985,2020-01-23,27.0
161,,Thailand,13.7563,100.5018,2020-01-23,3.0
162,,Japan,35.6762,139.6503,2020-01-23,2.0
